tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 760, 260, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 760, 500, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 720, 260, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 720, 500, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 680, 260, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 680, 500, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 640, 260, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 640, 500, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tower, 600, 260, 0.01, 40
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 402, 400, 2.0, 30
tank, 216, 400, 2.0, 30
tank, 16, 400, 2.0, 30
tower, 600, 500, 0.01, 40
